product_name,description1,description2,description3
"Blandfärs 50/50 ca 1,6kg ICA",,"Ca1.6kg(89,00 kr/kg), Sverige","Ca142,40 kr"
Blandfärs 21% 500g ICA,,"0.5kg(99,80 kr/kg)","49,90 kr"
Pasta Fusilli 500g Barilla,,"0.5kg(35,00 kr/kg)","17,50 kr"
Pastej Original Skivbar 250g Arboga,,"0.25kg(54,00 kr/kg)","13,50 kr"
Tomat 4 pack Klass 1 ICA,,"Ca0.44kg(39,95 kr/kg), Sverige","Ca17,58 kr"
Plommon 800g ICA,,"0.8kg(49,94 kr/kg), Italien","39,95 kr"
Läsk Coca-Cola 2l,,"2L(11,98 kr/l exkl pant), Pant 2,00 kr","23,95 kr"
Tortilla Chips Cheese 185g Santa Maria,,"0.185kg(72,97 kr/kg)","13,50 kr"
Grekisk Yoghurt Mild Naturell 6% 1000g Arla Ko®,,"1kg(23,95 kr/kg), Sverige","23,95 kr"
Bomullsrondeller 80-p ICA Basic,,"80 per frp(0,09 kr/st)","6,95 kr"
Chorizo Cayenne & Paprika 75% Kötthalt 300g Scan,,"0.3kg(111,67 kr/kg), Sverige","33,50 kr"
Äpple Pink Lady 4 pack Klass 1 ICA,,"Ca0.72kg(44,95 kr/kg), Italien","Ca32,36 kr"
Guldkorn 500g Pågen,,"0.5kg(49,00 kr/kg), Sverige","24,50 kr"
Purjolök 1 pack Klass 1 ICA,,"Ca0.33kg(29,95 kr/kg), Nederländerna","Ca9,88 kr"
Grötbröd 780g Pågen,,"0.78kg(46,09 kr/kg), Sverige","35,95 kr"
Apelsiner Navel 1kg Klass 1 ICA,,"1kg(31,95 kr/kg), Spanien","31,95 kr"
"Yoghurt Mild Naturell 3,8-4,5% Ekologisk 1000g Arla Ko®",,"1kg(18,50 kr/kg), Sverige","18,50 kr"
"Färsk standardmjölk Ekologisk 3,0% 1l Arla Ko®",,"1L(15,95 kr/l), Sverige","15,95 kr"
Matlagningsgrädde Laktosfri 13% 5dl ICA,,"0.5L(49,00 kr/l)","24,50 kr"
Körsbärstomater 250g Klass 1 ICA,,"0.25kg(115,80 kr/kg), Spanien","28,95 kr"
Frukostägg Frigående L 12-p ICA,,"12 per frp(3,00 kr/st)","35,95 kr"
Zero 33cl 20-p Coca-Cola,,"6.6L(17,42 kr/l exkl pant), Pant 20,00 kr","115,00 kr"
Hushållspapper 4-p Miljömärkt ICA Basic,,"0.54kg(44,35 kr/kg)","23,95 kr"
Avfallspåse 26L 25-pack ICA Basic,,"25 per frp(0,36 kr/st)","8,90 kr"
Lätt crème fraiche 13% 2dl Arla Köket®,,"0.2L(62,50 kr/l), Sverige","12,50 kr"
Paprikamix 400g Klass 1 ICA,,"0.4kg(74,88 kr/kg), Spanien","29,95 kr"
"Krögarpytt Klassisk Fryst 1,5kg Felix",,"1.5kg(56,67 kr/kg)","85,00 kr"
Fetaost Original 150g Fontana,,"0.15kg(183,33 kr/kg)","27,50 kr"
"Matlagningsgrädde 13% 2,5dl ICA",,"0.25L(50,00 kr/l), Sverige","12,50 kr"
Jäst för söta degar 50g Kronjäst,,"0.05kg(70,00 kr/kg)","3,50 kr"
Avfallspåse ICA Rosa Bandet 20-pack,,"(24,90 kr/st)","24,90 kr"
Nacho Chips Original 185g Santa Maria,,"0.185kg(72,97 kr/kg)","13,50 kr"
Kokosmjölk Orginal 250ml Santa Maria,,"0.25L(63,80 kr/l)","15,95 kr"
Sallatsmix Krispig Sköljd 65g ICA,,"0.065kg(245,38 kr/kg), EU","15,95 kr"
Små fina morötter 500g Klass 1 ICA,,"0.5kg(25,90 kr/kg), Sverige","12,95 kr"
Diskborste ICA,,"(11,90 kr/st)","11,90 kr"
Zucchini styck 1 pack Klass 1 ICA,,"0.35kg(42,71 kr/kg), Italien","14,95 kr"
Delikatesspotatis Sköljd 900g Klass 1 ICA,,"0.9kg(22,17 kr/kg), Sverige","19,95 kr"
Paprika Gul 1 pack Klass 1 ICA,,"Ca0.18kg(69,95 kr/kg), Nederländerna","Ca12,59 kr"
Pizzakit Original 600g POP! Bakery,,"0.6kg(49,92 kr/kg)","29,95 kr"
"Vatten Kolsyrad Original 1,5l Ramlösa",,"1.5L(6,33 kr/l exkl pant), Pant 2,00 kr","9,50 kr"
Torskryggfilé 420g Royal Greenland,,"0.42kg(297,62 kr/kg)","125,00 kr"
Pan Pizza Original 9-pack Billys,,"1.53kg(64,71 kr/kg)","99,00 kr"
Grillkorv Kyckling 400g ICA,,"0.4kg(49,88 kr/kg)","19,95 kr"
Pasta Spaghetti 1000g Barilla,,"1kg(22,95 kr/kg)","22,95 kr"
TOALETT CLASSIC 8-pack Lambi,,"0.776kg(61,21 kr/kg)","47,50 kr"
Äpple Royal Gala 4-p ca 700g Klass 1 ICA,,"Ca0.7kg(29,95 kr/kg), Italien","Ca20,97 kr"
Gammaldags Idealmakaroner 1300g Kungsörnen,,"1.3kg(18,85 kr/kg)","24,50 kr"
Pasta girandole 500g Barilla,,"0.5kg(35,00 kr/kg)","17,50 kr"
Kycklingfilé ca 925g Kronfågel,,"Ca0.925kg(155,00 kr/kg), Sverige","Ca143,38 kr"
Kebabsås Vitlök 250g Schysst käk,,"0.25L(107,80 kr/l)","26,95 kr"
Apelsinjuice 2l Bravo,,"2L(15,48 kr/l)","30,95 kr"
"Smör- & rapsolja flytande 7,5dl Arla Köket®",,"0.75L(45,27 kr/l), Sverige","33,95 kr"
Yoghurt Mild Naturell 3% 1500g Arla Ko®,,"1.5kg(15,30 kr/kg), Sverige","22,95 kr"
